"year","county","municip_number","production_final"
2006,"ROGALAND OG AGDER","1004",7437817.822
2006,"ROGALAND OG AGDER","1102",1649924.894
2006,"ROGALAND OG AGDER","1106",870812.435
2006,"ROGALAND OG AGDER","1108",-28396.39
2006,"ROGALAND OG AGDER","1122",329654.745
2006,"ROGALAND OG AGDER","1129",346583.073
2006,"ROGALAND OG AGDER","1133",4802269.944
2006,"ROGALAND OG AGDER","1134",-1191161.996
2006,"ROGALAND OG AGDER","1141",8449077.221
2006,"ROGALAND OG AGDER","1142",719111.915
2006,"ROGALAND OG AGDER","1145",2941097.469
2006,"ROGALAND OG AGDER","1146",5088807.376
2006,"ROGALAND OG AGDER","1149",659975.14
2006,"ROGALAND OG AGDER","1160",2595676.193
2006,"HORDALAND","1201",54.75
2006,"HORDALAND","1211",5114767.711
2006,"HORDALAND","1216",3289570.339
2006,"HORDALAND","1219",9468995.142
2006,"HORDALAND","1221",2922372.647
2006,"HORDALAND","1222",2209255.774
2006,"HORDALAND","1223",8314517.86
2006,"HORDALAND","1224",13605791.75
2006,"HORDALAND","1227",5429719.405
2006,"HORDALAND","1238",6878591.577
2006,"HORDALAND","1241",8145598.763
2006,"HORDALAND","1242",749341.148
2006,"HORDALAND","1243",3078785.275
2006,"HORDALAND","1244",10482327.058
2006,"HORDALAND","1245",340999.482
2006,"HORDALAND","1246",2500144.691
2006,"HORDALAND","1253",8890140.791
2006,"HORDALAND","1256",933904.246
2006,"HORDALAND","1259",-93398.1170000001
2006,"HORDALAND","1260",1651078.34
2006,"HORDALAND","1263",3599411.02
2006,"HORDALAND","1264",442052.8
2006,"HORDALAND","1266",1392645.862
2006,"SOGN OG FJORDANE","1401",4217738.698
2006,"SOGN OG FJORDANE","1411",12516997.569
2006,"SOGN OG FJORDANE","1412",8913709.704
2006,"SOGN OG FJORDANE","1413",5835608.073
2006,"SOGN OG FJORDANE","1416",3616832.206
2006,"SOGN OG FJORDANE","1428",3146017.385
2006,"SOGN OG FJORDANE","1429",-1827746.997
2006,"SOGN OG FJORDANE","1438",3777336.049
2006,"SOGN OG FJORDANE","1439",5154033.425
2006,"SOGN OG FJORDANE","1441",1708894.252
2006,"SOGN OG FJORDANE","1445",235567.236
2006,"MØRE OG ROMSDAL","1502",-109609.1
2006,"MØRE OG ROMSDAL","1505",6336924.734
2006,"MØRE OG ROMSDAL","1506",2093005.981
2006,"MØRE OG ROMSDAL","1507",620308.07
2006,"MØRE OG ROMSDAL","1511",2818550.399
2006,"MØRE OG ROMSDAL","1514",476492.147
2006,"MØRE OG ROMSDAL","1515",2874860.455
2006,"MØRE OG ROMSDAL","1519",1822118.819
2006,"MØRE OG ROMSDAL","1520",4920781.127
2006,"MØRE OG ROMSDAL","1525",8292688.02
2006,"MØRE OG ROMSDAL","1529",-353008.753
2006,"MØRE OG ROMSDAL","1532",3221474.541
2006,"MØRE OG ROMSDAL","1534",2008601.58
2006,"MØRE OG ROMSDAL","1535",5832018.572
2006,"MØRE OG ROMSDAL","1539",1963677.603
2006,"MØRE OG ROMSDAL","1543",182439.933
2006,"MØRE OG ROMSDAL","1544",148259.992
2006,"MØRE OG ROMSDAL","1545",-3362881.685
2006,"MØRE OG ROMSDAL","1547",2819836.862
2006,"MØRE OG ROMSDAL","1548",1164943.285
2006,"MØRE OG ROMSDAL","1551",-22503.9
2006,"MØRE OG ROMSDAL","1554",1858043.917
2006,"MØRE OG ROMSDAL","1556",2381243.856
2006,"MØRE OG ROMSDAL","1557",6307911.311
2006,"MØRE OG ROMSDAL","1560",-2776561.759
2006,"MØRE OG ROMSDAL","1563",-39915.99
2006,"MØRE OG ROMSDAL","1566",690276.6
2006,"MØRE OG ROMSDAL","1571",7012535.054
2006,"MØRE OG ROMSDAL","1573",11426755.905
2006,"MØRE OG ROMSDAL","1576",4561448.872
2006,"MØRE OG ROMSDAL","1577",2824779.251
2006,"TRØNDELAG","1612",3535032.634
2006,"TRØNDELAG","1613",451693.37
2006,"TRØNDELAG","1617",7168757.925
2006,"TRØNDELAG","1620",2513125.721
2006,"TRØNDELAG","1621",1598586.643
2006,"TRØNDELAG","1630",1743786.109
2006,"TRØNDELAG","1717",1722406.125
2006,"TRØNDELAG","1719",746534
2006,"TRØNDELAG","1748",3473906.102
2006,"TRØNDELAG","1749",3182621.731
2006,"TRØNDELAG","1751",9999512.435
2006,"TRØNDELAG","1755",5653461.426
2006,"NORDLAND","1804",1565082.681
2006,"NORDLAND","1806",206474.219
2006,"NORDLAND","1811",3960461.713
2006,"NORDLAND","1812",3567771.951
2006,"NORDLAND","1813",2653181.922
2006,"NORDLAND","1815",1706243.373
2006,"NORDLAND","1816",4763285.334
2006,"NORDLAND","1818",-1138057.533
2006,"NORDLAND","1820",2550567.09
2006,"NORDLAND","1824",1722185.736
2006,"NORDLAND","1827",516232.278
2006,"NORDLAND","1828",926686.309
2006,"NORDLAND","1833",858279.262
2006,"NORDLAND","1834",12072987.591
2006,"NORDLAND","1835",461024.581
2006,"NORDLAND","1836",12468604.491
2006,"NORDLAND","1837",5801144.897
2006,"NORDLAND","1838",6471414.789
2006,"NORDLAND","1840",237593.887
2006,"NORDLAND","1841",2282362.926
2006,"NORDLAND","1845",6610755.482
2006,"NORDLAND","1848",10766202.927
2006,"NORDLAND","1849",819315.348
2006,"NORDLAND","1850",1176162.456
2006,"NORDLAND","1851",4887889.985
2006,"NORDLAND","1854",637152.877
2006,"NORDLAND","1859",2858617.055
2006,"NORDLAND","1860",-3006288.318
2006,"NORDLAND","1865",8064381.01
2006,"NORDLAND","1866",5871421.994
2006,"NORDLAND","1867",3779146.867
2006,"NORDLAND","1868",4770834.191
2006,"NORDLAND","1870",4295428.107
2006,"TROMS","1902",4569481.492
2006,"TROMS","1903",3481073.55
2006,"TROMS","1911",4338264.036
2006,"TROMS","1913",6208081.66
2006,"TROMS","1917",4094627.156
2006,"TROMS","1919",1814057.024
2006,"TROMS","1920",2788399.616
2006,"TROMS","1923",512334.774
2006,"TROMS","1926",3012068.935
2006,"TROMS","1927",819596.326
2006,"TROMS","1928",14847696.881
2006,"TROMS","1929",-355108.599
2006,"TROMS","1931",2173552.638
2006,"TROMS","1936",4949279.871
2006,"TROMS","1938",1471327.091
2006,"TROMS","1940",1902365.71
2006,"TROMS","1941",7724798.77
2006,"TROMS","1942",4900039.804
2006,"TROMS","1943",5136186.831
2006,"FINNMARK","2004",1150485.368
2006,"FINNMARK","2012",14950219.023
2006,"FINNMARK","2014",7714625.581
2006,"FINNMARK","2017",3011720.29
2006,"FINNMARK","2019",115461.352
2006,"FINNMARK","2027",-252917.711
2006,"FINNMARK","2030",385288.077
2006,"TRØNDELAG","5005",1841461.489
2006,"TRØNDELAG","5011",3794699.522
2006,"TRØNDELAG","5012",7642939.909
2006,"TRØNDELAG","5013",22076684.458
2006,"TRØNDELAG","5014",26779816.994
2006,"TRØNDELAG","5018",6409409.517
2006,"TRØNDELAG","5019",4026421.496
2006,"TRØNDELAG","5020",2139154.678
2006,"TRØNDELAG","5048",773857.71
2006,"TRØNDELAG","5049",7863660.922
2006,"TRØNDELAG","5050",9548581.093
2006,"TRØNDELAG","5051",10373543.938
2006,"TRØNDELAG","5052",4543254.24
2006,"ROGALAND OG AGDER","0926",443013.129
2007,"ROGALAND OG AGDER","1004",10120215.474
2007,"ROGALAND OG AGDER","1102",242574.32
2007,"ROGALAND OG AGDER","1106",465580.065
2007,"ROGALAND OG AGDER","1108",52741
2007,"ROGALAND OG AGDER","1122",377771.708
2007,"ROGALAND OG AGDER","1129",328027.646
2007,"ROGALAND OG AGDER","1133",6338608.9
2007,"ROGALAND OG AGDER","1134",6432962.805
2007,"ROGALAND OG AGDER","1141",5177610.609
2007,"ROGALAND OG AGDER","1142",3266881.95
2007,"ROGALAND OG AGDER","1145",6101396.373
2007,"ROGALAND OG AGDER","1146",5290553.135
2007,"ROGALAND OG AGDER","1149",482921.692
2007,"ROGALAND OG AGDER","1160",6366706.682
2007,"HORDALAND","1201",0
2007,"HORDALAND","1211",6312112.239
2007,"HORDALAND","1216",8136832.041
2007,"HORDALAND","1219",1072867.263
2007,"HORDALAND","1221",2124927.601
2007,"HORDALAND","1222",6462674.762
2007,"HORDALAND","1223",10261897.637
2007,"HORDALAND","1224",17828488.95
2007,"HORDALAND","1227",4968882.523
2007,"HORDALAND","1238",9683771.009
2007,"HORDALAND","1241",9244098.881
2007,"HORDALAND","1242",390104.081
2007,"HORDALAND","1243",2733274.401
2007,"HORDALAND","1244",13571206.768
2007,"HORDALAND","1245",3479035.845
2007,"HORDALAND","1246",3312443.601
2007,"HORDALAND","1247",2289877.521
2007,"HORDALAND","1253",14327789.204
2007,"HORDALAND","1256",2885976.306
2007,"HORDALAND","1259",5684646.243
2007,"HORDALAND","1260",5221451.436
2007,"HORDALAND","1263",5003040.761
2007,"HORDALAND","1264",476977.557
2007,"HORDALAND","1266",926916.861
2007,"SOGN OG FJORDANE","1401",5660217.505
2007,"SOGN OG FJORDANE","1411",11387884.93
2007,"SOGN OG FJORDANE","1412",7136869.26
2007,"SOGN OG FJORDANE","1413",8562738.64
2007,"SOGN OG FJORDANE","1416",3371048.103
2007,"SOGN OG FJORDANE","1428",6350404.075
2007,"SOGN OG FJORDANE","1429",6264130.217
