"year","county","municip_number","production_final","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name"
2005,"FINNMARK","2004",3754205.928,"Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark"
2005,"FINNMARK","2012",16284760.432,"Alta",4557.653447,708.1851191,12,"Vest-Finnmark"
2005,"FINNMARK","2014",4366246.411,"Loppa",2808.583223,2119.706465,12,"Vest-Finnmark"
2005,"FINNMARK","2017",1340382.824,"Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark"
2005,"FINNMARK","2019",229582,"Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark"
2005,"FINNMARK","2022",758095.434,"Lebesby",5729.229931,2269.813387,12,"Vest-Finnmark"
2005,"FINNMARK","2023",774463,"Gamvik",3105.285356,1688.94178,13,"Øst-Finnmark"
2005,"FINNMARK","2027",1607358.578,"c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark"
2005,"FINNMARK","2030",333026,"Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark"
2005,"HORDALAND","1201",561.625,"Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra"
2005,"HORDALAND","1211",4268965.645,"Etne",813.6223475,78.34093032,3,"Karmøy - Sotra"
2005,"HORDALAND","1216",486671.034,"Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra"
2005,"HORDALAND","1219",4129263.902,"Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
2005,"HORDALAND","1221",709352.152,"Stord",225.8352936,82.10288014,3,"Karmøy - Sotra"
2005,"HORDALAND","1222",4617852.978,"Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra"
2005,"HORDALAND","1223",7509473.857,"Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra"
2005,"HORDALAND","1224",18247664.313,"Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra"
2005,"HORDALAND","1227",4325444.276,"Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra"
2005,"HORDALAND","1238",4200568.684,"Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra"
2005,"HORDALAND","1241",9495013.37,"Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra"
2005,"HORDALAND","1242",NA,"Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra"
2005,"HORDALAND","1243",1866822.433,"Os",245.5334546,105.9583688,3,"Karmøy - Sotra"
2005,"HORDALAND","1244",10776083.875,"Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
2005,"HORDALAND","1245",1149983.702,"Sund",564.9350737,465.3951173,3,"Karmøy - Sotra"
2005,"HORDALAND","1246",2117988.01,"Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra"
2005,"HORDALAND","1247",921548.478,"Askøy",219.6391485,118.5156823,4,"Sotra - Stadt"
2005,"HORDALAND","1253",7989309.648,"Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt"
2005,"HORDALAND","1256",961459.581,"Meland",130.5215556,37.93871393,4,"Sotra - Stadt"
2005,"HORDALAND","1259",2525729.231,"Øygarden",985.9432893,919.148288,4,"Sotra - Stadt"
2005,"HORDALAND","1260",NA,"Radøy",209.7977221,98.34900146,4,"Sotra - Stadt"
2005,"HORDALAND","1263",5115303.757,"Lindås",637.0389369,162.042687,4,"Sotra - Stadt"
2005,"HORDALAND","1264",214779.05,"Austrheim",161.9491533,104.393437,4,"Sotra - Stadt"
2005,"HORDALAND","1266",1825005.856,"Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt"
2005,"MØRE OG ROMSDAL","1502",6481172.703,"Molde",585.0810002,222.447664,5,"Stad - Hustadvika"
2005,"MØRE OG ROMSDAL","1505",1539690.813,"Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag"
