"year","county","prod_area_name","prod_area_id","production_per_region"
2005,"FINNMARK","Øst-Finnmark",13,2714847.578
2005,"FINNMARK","Vest-Finnmark",12,26733273.029
2005,"HORDALAND","Karmøy - Sotra",3,73901709.856
2005,"HORDALAND","Sotra - Stadt",4,19553135.601
2005,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,32689189.838
2005,"MØRE OG ROMSDAL","Stad - Hustadvika",5,41035653.18
2005,"NORDLAND","Helgeland - Bodø",8,51018522.757
2005,"NORDLAND","Nord-Trøndelag - Bindal",7,1773994.385
2005,"NORDLAND","Vestfjorden - Vesterålen",9,48692826.244
2005,"ROGALAND OG AGDER","Karmøy - Sotra",3,6278812.614
2005,"ROGALAND OG AGDER","Ryfylke",2,28019704.351
2005,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,10971647.77
2005,"SOGN OG FJORDANE","Sotra - Stadt",4,50908906.243
2005,"TROMS","Andfjorden - Senja",10,38285535.497
2005,"TROMS","Kvaløya - Loppa",11,26192196.248
2005,"TRØNDELAG","Nord-Trøndelag - Bindal",7,50422696.354
2005,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,73983492.307
2006,"FINNMARK","Øst-Finnmark",13,385288.077
2006,"FINNMARK","Vest-Finnmark",12,26942511.614
2006,"HORDALAND","Karmøy - Sotra",3,82530833.372
2006,"HORDALAND","Sotra - Stadt",4,16909233.059
2006,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,40575140.249
2006,"MØRE OG ROMSDAL","Stad - Hustadvika",5,44084836.637
2006,"NORDLAND","Helgeland - Bodø",8,59059566.417
2006,"NORDLAND","Nord-Trøndelag - Bindal",7,3960461.713
2006,"NORDLAND","Vestfjorden - Vesterålen",9,56308865.199
2006,"ROGALAND OG AGDER","Karmøy - Sotra",3,4126463.768
2006,"ROGALAND OG AGDER","Ryfylke",2,24326526.637
2006,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,7880830.951
2006,"SOGN OG FJORDANE","Sotra - Stadt",4,49122734.597
2006,"TROMS","Andfjorden - Senja",10,44089752.596
2006,"TROMS","Kvaløya - Loppa",11,30653479.569
2006,"TRØNDELAG","Nord-Trøndelag - Bindal",7,57253861.086
2006,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,92349049.101
2006,"UOPPGITT","Svenskegrensen - Jæren",1,NA
2007,"FINNMARK","Øst-Finnmark",13,1858998.579
2007,"FINNMARK","Vest-Finnmark",12,29444662.401
2007,"HORDALAND","Karmøy - Sotra",3,99582617.602
2007,"HORDALAND","Sotra - Stadt",4,36816675.889
2007,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,1527308.843
2007,"MØRE OG ROMSDAL","Stad - Hustadvika",5,6630702.657
2007,"NORDLAND","Helgeland - Bodø",8,68994884.552
2007,"NORDLAND","Nord-Trøndelag - Bindal",7,3042705.249
2007,"NORDLAND","Vestfjorden - Vesterålen",9,60449769.276
2007,"ROGALAND OG AGDER","Karmøy - Sotra",3,7315208.439
2007,"ROGALAND OG AGDER","Ryfylke",2,33609128.446
2007,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,10120215.474
2007,"SOGN OG FJORDANE","Sotra - Stadt",4,65288335.968
2007,"TROMS","Andfjorden - Senja",10,39971176.408
2007,"TROMS","Kvaløya - Loppa",11,38493736.846
2007,"TRØNDELAG","Nord-Trøndelag - Bindal",7,70450150.684
2007,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,106414242.478
2008,"FINNMARK","Øst-Finnmark",13,4317768.317
2008,"FINNMARK","Vest-Finnmark",12,30219572.14
2008,"HORDALAND","Karmøy - Sotra",3,117854483.685
2008,"HORDALAND","Sotra - Stadt",4,34743722.998
2008,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,83034822.235
2008,"MØRE OG ROMSDAL","Stad - Hustadvika",5,71665040.773
2008,"NORDLAND","Helgeland - Bodø",8,78958364.866
2008,"NORDLAND","Nord-Trøndelag - Bindal",7,5764486.362
2008,"NORDLAND","Vestfjorden - Vesterålen",9,72266285.821
2008,"ROGALAND OG AGDER","Karmøy - Sotra",3,8045729.02
2008,"ROGALAND OG AGDER","Ryfylke",2,30912890.24
2008,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,10266292.589
2008,"SOGN OG FJORDANE","Sotra - Stadt",4,58238144.92
2008,"TROMS","Andfjorden - Senja",10,42776871.453
2008,"TROMS","Kvaløya - Loppa",11,33387904.407
2008,"TRØNDELAG","Nord-Trøndelag - Bindal",7,62655589.205
2008,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,101735832.774
2009,"FINNMARK","Øst-Finnmark",13,10615231.81
2009,"FINNMARK","Vest-Finnmark",12,41716357.324
2009,"HORDALAND","Karmøy - Sotra",3,124784859.308
2009,"HORDALAND","Sotra - Stadt",4,39371400.269
2009,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,49945475.096
2009,"MØRE OG ROMSDAL","Stad - Hustadvika",5,47510802.268
2009,"NORDLAND","Helgeland - Bodø",8,93884058.455
2009,"NORDLAND","Nord-Trøndelag - Bindal",7,6646897.066
2009,"NORDLAND","Vestfjorden - Vesterålen",9,82269489.315
2009,"ROGALAND OG AGDER","Karmøy - Sotra",3,2765160.564
2009,"ROGALAND OG AGDER","Ryfylke",2,42089238.991
2009,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,11411325.438
2009,"SOGN OG FJORDANE","Sotra - Stadt",4,77892217.502
2009,"TROMS","Andfjorden - Senja",10,49517024.765
2009,"TROMS","Kvaløya - Loppa",11,33500179.013
2009,"TRØNDELAG","Nord-Trøndelag - Bindal",7,82187987.213
2009,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,114310856.709
2010,"FINNMARK","Øst-Finnmark",13,9057188.633
2010,"FINNMARK","Vest-Finnmark",12,42818456.199
2010,"HORDALAND","Karmøy - Sotra",3,119883184.16
2010,"HORDALAND","Sotra - Stadt",4,34530159.228
2010,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,69802846.384
2010,"MØRE OG ROMSDAL","Stad - Hustadvika",5,57888858.91
2010,"NORDLAND","Helgeland - Bodø",8,82661461.64
2010,"NORDLAND","Nord-Trøndelag - Bindal",7,8500811.513
2010,"NORDLAND","Vestfjorden - Vesterålen",9,86497889.356
2010,"ROGALAND OG AGDER","Karmøy - Sotra",3,9460991.427
2010,"ROGALAND OG AGDER","Ryfylke",2,35710036.094
2010,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,2368346.35
2010,"SOGN OG FJORDANE","Sotra - Stadt",4,72030613.37
2010,"TROMS","Andfjorden - Senja",10,24998260.331
2010,"TROMS","Kvaløya - Loppa",11,6021731.904
2010,"TRØNDELAG","Nord-Trøndelag - Bindal",7,59271123.71
2010,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,126676209.015
2011,"FINNMARK","Øst-Finnmark",13,10543221.011
2011,"FINNMARK","Vest-Finnmark",12,57649543.814
2011,"HORDALAND","Karmøy - Sotra",3,150272861.151
2011,"HORDALAND","Sotra - Stadt",4,40912067.227
2011,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,71055187.936
2011,"MØRE OG ROMSDAL","Stad - Hustadvika",5,61517559.775
2011,"NORDLAND","Helgeland - Bodø",8,92767474.249
2011,"NORDLAND","Nord-Trøndelag - Bindal",7,10296527.497
2011,"NORDLAND","Vestfjorden - Vesterålen",9,90949721.567
2011,"ROGALAND OG AGDER","Karmøy - Sotra",3,12465369.283
2011,"ROGALAND OG AGDER","Ryfylke",2,38406313.74
2011,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,11887362.534
2011,"SOGN OG FJORDANE","Sotra - Stadt",4,99126319.78
2011,"TROMS","Andfjorden - Senja",10,52945800.064
2011,"TROMS","Kvaløya - Loppa",11,31212119.361
2011,"TRØNDELAG","Nord-Trøndelag - Bindal",7,92471697.072
2011,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,134916160.481
2012,"FINNMARK","Øst-Finnmark",13,NA
2012,"FINNMARK","Vest-Finnmark",12,44315391.14
2012,"HORDALAND","Karmøy - Sotra",3,174386098.405
2012,"HORDALAND","Sotra - Stadt",4,49710598.009
2012,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,46171663.374
2012,"MØRE OG ROMSDAL","Stad - Hustadvika",5,67164961.722
2012,"NORDLAND","Helgeland - Bodø",8,110876447.137
2012,"NORDLAND","Nord-Trøndelag - Bindal",7,13048621.856
2012,"NORDLAND","Vestfjorden - Vesterålen",9,101527014.394
2012,"ROGALAND OG AGDER","Karmøy - Sotra",3,17491292.065
2012,"ROGALAND OG AGDER","Ryfylke",2,53145710.92
2012,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,11238402.078
2012,"SOGN OG FJORDANE","Sotra - Stadt",4,104198433.208
2012,"TROMS","Andfjorden - Senja",10,69144674.332
2012,"TROMS","Kvaløya - Loppa",11,42976287.54
2012,"TRØNDELAG","Nord-Trøndelag - Bindal",7,83627111.921
2012,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,185795982.425
2013,"FINNMARK","Øst-Finnmark",13,22980753.639
2013,"FINNMARK","Vest-Finnmark",12,9278674.315
2013,"HORDALAND","Karmøy - Sotra",3,140840172.851
2013,"HORDALAND","Sotra - Stadt",4,49605443.632
2013,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,80137379.53
2013,"MØRE OG ROMSDAL","Stad - Hustadvika",5,64945058.817
2013,"NORDLAND","Helgeland - Bodø",8,110484928.025
2013,"NORDLAND","Nord-Trøndelag - Bindal",7,8523019.344
2013,"NORDLAND","Vestfjorden - Vesterålen",9,105739297.74
2013,"ROGALAND OG AGDER","Karmøy - Sotra",3,6910431.798
2013,"ROGALAND OG AGDER","Ryfylke",2,39691439.977
