"year","prod_area_name","prod_area_id","production_per_region"
2005,"Andfjorden - Senja",10,38285535.497
2005,"Helgeland - Bodø",8,51018522.757
2005,"Karmøy - Sotra",3,80180522.47
2005,"Kvaløya - Loppa",11,26192196.248
2005,"Nord-Trøndelag - Bindal",7,52196690.739
2005,"Nordmøre - Sør-Trøndelag",6,106672682.145
2005,"Øst-Finnmark",13,2714847.578
2005,"Ryfylke",2,28019704.351
2005,"Sotra - Stadt",4,70462041.844
2005,"Stad - Hustadvika",5,41035653.18
2005,"Svenskegrensen - Jæren",1,10971647.77
2005,"Vest-Finnmark",12,26733273.029
2005,"Vestfjorden - Vesterålen",9,48692826.244
2006,"Andfjorden - Senja",10,44089752.596
2006,"Helgeland - Bodø",8,59059566.417
2006,"Karmøy - Sotra",3,86657297.14
2006,"Kvaløya - Loppa",11,30653479.569
2006,"Nord-Trøndelag - Bindal",7,61214322.799
2006,"Nordmøre - Sør-Trøndelag",6,132924189.35
2006,"Øst-Finnmark",13,385288.077
2006,"Ryfylke",2,24326526.637
2006,"Sotra - Stadt",4,66031967.656
2006,"Stad - Hustadvika",5,44084836.637
2006,"Svenskegrensen - Jæren",1,7880830.951
2006,"Vest-Finnmark",12,26942511.614
2006,"Vestfjorden - Vesterålen",9,56308865.199
2007,"Andfjorden - Senja",10,39971176.408
2007,"Helgeland - Bodø",8,68994884.552
2007,"Karmøy - Sotra",3,106897826.041
2007,"Kvaløya - Loppa",11,38493736.846
2007,"Nord-Trøndelag - Bindal",7,73492855.933
2007,"Nordmøre - Sør-Trøndelag",6,107941551.321
2007,"Øst-Finnmark",13,1858998.579
2007,"Ryfylke",2,33609128.446
2007,"Sotra - Stadt",4,102105011.857
2007,"Stad - Hustadvika",5,6630702.657
2007,"Svenskegrensen - Jæren",1,10120215.474
2007,"Vest-Finnmark",12,29444662.401
2007,"Vestfjorden - Vesterålen",9,60449769.276
2008,"Andfjorden - Senja",10,42776871.453
2008,"Helgeland - Bodø",8,78958364.866
2008,"Karmøy - Sotra",3,125900212.705
2008,"Kvaløya - Loppa",11,33387904.407
2008,"Nord-Trøndelag - Bindal",7,68420075.567
2008,"Nordmøre - Sør-Trøndelag",6,184770655.009
2008,"Øst-Finnmark",13,4317768.317
2008,"Ryfylke",2,30912890.24
2008,"Sotra - Stadt",4,92981867.918
2008,"Stad - Hustadvika",5,71665040.773
2008,"Svenskegrensen - Jæren",1,10266292.589
2008,"Vest-Finnmark",12,30219572.14
2008,"Vestfjorden - Vesterålen",9,72266285.821
2009,"Andfjorden - Senja",10,49517024.765
2009,"Helgeland - Bodø",8,93884058.455
2009,"Karmøy - Sotra",3,127550019.872
2009,"Kvaløya - Loppa",11,33500179.013
2009,"Nord-Trøndelag - Bindal",7,88834884.279
2009,"Nordmøre - Sør-Trøndelag",6,164256331.805
2009,"Øst-Finnmark",13,10615231.81
2009,"Ryfylke",2,42089238.991
