"","year","prod_area_id","prod_area_name","feed_used_kg","escapees_count","deadfish_count"
"1",2005,1,"Svenskegrensen - Jæren",13403325,0,339543
"2",2005,2,"Ryfylke",51866018,0,1286012
"3",2005,3,"Karmøy - Sotra",119197647,0,4745221
"4",2005,4,"Sotra - Stadt",106761677,9500,3667368
"5",2005,5,"Stad - Hustadvika",61041585,0,1619767
"6",2005,6,"Nordmøre - Sør-Trøndelag",131283535,8079,3827128
"7",2005,7,"Nord-Trøndelag - Bindal",59507787,0,1414479
"8",2005,8,"Helgeland - Bodø",80525421,0,1343150
"9",2005,9,"Vestfjorden - Vesterålen",65578015,0,1188365
"10",2005,10,"Andfjorden - Senja",48309527,0,1307549
"11",2005,11,"Kvaløya - Loppa",30830463,0,996093
"12",2005,12,"Vest-Finnmark",30070023,94836,1196715
"13",2005,13,"Øst-Finnmark",2283584,0,62667
"14",2006,1,"Svenskegrensen - Jæren",11246909,0,379559
"15",2006,2,"Ryfylke",46667298,0,2110509
"16",2006,3,"Karmøy - Sotra",133552579,106496,6648066
"17",2006,4,"Sotra - Stadt",116736552,13117,5128517
"18",2006,5,"Stad - Hustadvika",69512305,0,1702149
"19",2006,6,"Nordmøre - Sør-Trøndelag",167152764,111449,4973975
"20",2006,7,"Nord-Trøndelag - Bindal",73497365,41150,1138735
"21",2006,8,"Helgeland - Bodø",79103114,90966,1503507
"22",2006,9,"Vestfjorden - Vesterålen",69997926,104344,1629473
"23",2006,10,"Andfjorden - Senja",58548174,0,1066054
"24",2006,11,"Kvaløya - Loppa",38782434,294218,986029
"25",2006,12,"Vest-Finnmark",34113851,0,940998
"26",2006,13,"Øst-Finnmark",892388,0,94911
"27",2007,1,"Svenskegrensen - Jæren",13708422,0,324795
"28",2007,2,"Ryfylke",50825743,12,2918364
"29",2007,3,"Karmøy - Sotra",170690814,290500,8115609
"30",2007,4,"Sotra - Stadt",139565303,14540,5146233
"31",2007,5,"Stad - Hustadvika",46409299,0,1603648
"32",2007,6,"Nordmøre - Sør-Trøndelag",138343946,0,3551460
"33",2007,7,"Nord-Trøndelag - Bindal",86284894,5500,1428898
"34",2007,8,"Helgeland - Bodø",85262279,0,1777153
"35",2007,9,"Vestfjorden - Vesterålen",76078754,4460,1530120
"36",2007,10,"Andfjorden - Senja",59284491,60000,2791071
"37",2007,11,"Kvaløya - Loppa",42718088,3715,1230553
"38",2007,12,"Vest-Finnmark",37987150,0,787041
"39",2007,13,"Øst-Finnmark",2322260,0,205927
"40",2008,1,"Svenskegrensen - Jæren",14241756,0,359198
"41",2008,2,"Ryfylke",49872818,0,3618846
"42",2008,3,"Karmøy - Sotra",181953343,0,8379011
