"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"1","1816",10451,"(-999.0,-999.0)",5.3,NA,0.1,0.1,2005,2,1,8,"Helgeland - Bodø"
"2","1816",10451,"(-999.0,-999.0)",4.8,NA,0.2,0.1,2005,3,1,8,"Helgeland - Bodø"
"3","1816",10451,"(-999.0,-999.0)",5.35,NA,0,0.2,2005,4,1,8,"Helgeland - Bodø"
"4","1816",10451,"(-999.0,-999.0)",6.09,NA,0.15,0.15,2005,5,1,8,"Helgeland - Bodø"
"5","1816",10451,"(-999.0,-999.0)",7.61,NA,1.33,1.33,2005,6,1,8,"Helgeland - Bodø"
"6","1816",10451,"(-999.0,-999.0)",8.73,NA,0,0,2005,7,1,8,"Helgeland - Bodø"
"7","1816",10451,"(-999.0,-999.0)",10.62,NA,0,0,2005,10,1,8,"Helgeland - Bodø"
"8","1816",10451,"(-999.0,-999.0)",10.21,NA,0.05,0.05,2005,11,1,8,"Helgeland - Bodø"
"9","1816",10451,"(-999.0,-999.0)",8.52,NA,0,0,2005,12,1,8,"Helgeland - Bodø"
"10","1816",10451,"(-999.0,-999.0)",7.06,NA,0,0,2006,1,1,8,"Helgeland - Bodø"
"11","1816",10451,"(-999.0,-999.0)",6.06,NA,0,0,2006,2,1,8,"Helgeland - Bodø"
"12","1816",10451,"(-999.0,-999.0)",4.48,NA,0,0,2006,3,1,8,"Helgeland - Bodø"
"13","1816",10451,"(-999.0,-999.0)",4.47,NA,0,0,2006,4,1,8,"Helgeland - Bodø"
"14","1816",10451,"(-999.0,-999.0)",6.68,NA,0,0,2006,5,1,8,"Helgeland - Bodø"
"15","1816",10451,"(-999.0,-999.0)",8.4,NA,0,0,2006,6,1,8,"Helgeland - Bodø"
"16","1816",10451,"(-999.0,-999.0)",9.91,NA,0,0,2006,7,1,8,"Helgeland - Bodø"
"17","1816",10451,"(-999.0,-999.0)",12.98,NA,0,0,2006,8,1,8,"Helgeland - Bodø"
"18","1816",10451,"(-999.0,-999.0)",14.41,NA,1.5,1,2006,9,1,8,"Helgeland - Bodø"
"19","1816",10451,"(-999.0,-999.0)",12.6,NA,1,1,2006,10,1,8,"Helgeland - Bodø"
"20","1816",10451,"(-999.0,-999.0)",10.91,NA,0.95,2.2,2006,11,1,8,"Helgeland - Bodø"
"21","1816",10451,"(-999.0,-999.0)",8.53,NA,0.1,0.05,2006,12,1,8,"Helgeland - Bodø"
"22","1816",10451,"(-999.0,-999.0)",7.21,NA,0.1,0.1,2007,1,1,8,"Helgeland - Bodø"
"23","1816",10451,"(-999.0,-999.0)",5.85,NA,0.1,0.1,2007,2,1,8,"Helgeland - Bodø"
"24","1816",10451,"(-999.0,-999.0)",5.67,NA,0,0.05,2007,3,1,8,"Helgeland - Bodø"
"25","1816",10451,"(-999.0,-999.0)",6.09,NA,0,0,2007,4,1,8,"Helgeland - Bodø"
"26","1868",10508,"(-999.0,-999.0)",5.3,NA,0,0,2005,2,1,9,"Vestfjorden - Vesterålen"
"27","1868",10508,"(-999.0,-999.0)",4.5,NA,0,0,2005,3,1,9,"Vestfjorden - Vesterålen"
"28","1868",10508,"(-999.0,-999.0)",4.6,NA,0,0,2005,4,1,9,"Vestfjorden - Vesterålen"
