year,treatment_type,prod_area_id,prod_area_name,sum_treaments
2012,Bath,2,Ryfylke,51
2012,Bath,3,Karmøy - Sotra,415
2012,Bath,4,Sotra - Stadt,258
2012,Bath,5,Stad - Hustadvika,61
2012,Bath,6,Nordmøre - Sør-Trøndelag,247
2012,Bath,7,Nord-Trøndelag - Bindal,161
2012,Bath,8,Helgeland - Bodø,176
2012,Bath,9,Vestfjorden - Vesterålen,135
2012,Bath,10,Andfjorden - Senja,45
2012,Bath,11,Kvaløya - Loppa,7
2012,Bath,12,Vest-Finnmark,29
2012,Feed,2,Ryfylke,20
2012,Feed,3,Karmøy - Sotra,122
2012,Feed,4,Sotra - Stadt,103
2012,Feed,5,Stad - Hustadvika,8
2012,Feed,6,Nordmøre - Sør-Trøndelag,28
2012,Feed,7,Nord-Trøndelag - Bindal,4
2012,Feed,8,Helgeland - Bodø,13
2012,Feed,9,Vestfjorden - Vesterålen,50
2012,Feed,10,Andfjorden - Senja,17
2012,Feed,11,Kvaløya - Loppa,10
2012,Feed,12,Vest-Finnmark,15
2013,Bath,2,Ryfylke,56
2013,Bath,3,Karmøy - Sotra,266
2013,Bath,4,Sotra - Stadt,207
2013,Bath,5,Stad - Hustadvika,77
2013,Bath,6,Nordmøre - Sør-Trøndelag,220
2013,Bath,7,Nord-Trøndelag - Bindal,188
2013,Bath,8,Helgeland - Bodø,168
2013,Bath,9,Vestfjorden - Vesterålen,150
2013,Bath,10,Andfjorden - Senja,57
2013,Bath,11,Kvaløya - Loppa,15
2013,Bath,12,Vest-Finnmark,39
2013,Bath,13,Øst-Finnmark,4
2013,Feed,2,Ryfylke,31
2013,Feed,3,Karmøy - Sotra,103
2013,Feed,4,Sotra - Stadt,113
2013,Feed,5,Stad - Hustadvika,2
2013,Feed,6,Nordmøre - Sør-Trøndelag,21
2013,Feed,7,Nord-Trøndelag - Bindal,59
2013,Feed,8,Helgeland - Bodø,15
2013,Feed,9,Vestfjorden - Vesterålen,27
2013,Feed,10,Andfjorden - Senja,16
2013,Feed,11,Kvaløya - Loppa,19
2014,Bath,2,Ryfylke,62
2014,Bath,3,Karmøy - Sotra,313
2014,Bath,4,Sotra - Stadt,417
2014,Bath,5,Stad - Hustadvika,148
2014,Bath,6,Nordmøre - Sør-Trøndelag,286
2014,Bath,7,Nord-Trøndelag - Bindal,160
2014,Bath,8,Helgeland - Bodø,175
2014,Bath,9,Vestfjorden - Vesterålen,165
2014,Bath,10,Andfjorden - Senja,105
2014,Bath,11,Kvaløya - Loppa,12
2014,Bath,12,Vest-Finnmark,62
2014,Feed,2,Ryfylke,29
2014,Feed,3,Karmøy - Sotra,124
