"municip","location_number","location_name","momb_status","date","year","municip_number_2019","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name"
"KARMØY",10029,"Teholman Øst",1,2009-09-04,2009,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"KARMØY",10029,"Tuholmane",1,2011-08-08,2011,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"KARMØY",10029,"Tuholmen Ø",1,2013-05-10,2013,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"KARMØY",10029,"TUHOLMANE Ø",1,2014-06-05,2014,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"KARMØY",10029,"TUHOLMANE Ø",1,2019-10-29,2019,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"KARMØY",10029,"TUHOLMANE Ø",3,2020-09-29,2020,"1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",1,2008-01-30,2008,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",1,2010-02-24,2010,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"Kviksholmen",1,2012-03-21,2012,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",1,2014-01-22,2014,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",1,2015-03-19,2015,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",3,2017-02-20,2017,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",2,2017-09-07,2017,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",3,2018-09-28,2018,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10041,"KVIKSHOLMEN",1,2021-06-03,2021,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"EIDHOLMEN",2,2009-01-09,2009,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"EIDHOLMEN",2,2010-02-24,2010,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"EIDHOLMEN",2,2012-03-21,2012,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"Eidholmen",2,2013-03-04,2013,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"EIDHOLMEN",1,2014-01-22,2014,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10045,"EIDHOLMEN",3,2020-03-04,2020,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"BØMLO",10050,"Ospøy Ø",1,2005-05-27,2005,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"Ospøy Ø",1,2008-06-05,2008,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"OSPØY Ø",1,2013-06-06,2013,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"OSPØY Ø",2,2018-08-30,2018,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"OSPØY Ø",1,2019-09-12,2019,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"OSPØY Ø",2,2020-11-18,2020,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"BØMLO",10050,"OSPØY Ø",1,2021-06-03,2021,"1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBEHOLMANE",1,2007-02-09,2007,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"Tobbholmane",1,2009-01-07,2009,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"Tobbholmane",1,2011-02-11,2011,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBHOLMEN",1,2012-09-28,2012,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBEHOLMANE",1,2015-02-11,2015,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBEHOLMANE",1,2016-11-21,2016,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBEHOLMANE",1,2018-11-23,2018,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"AUSTEVOLL",10054,"TOBBEHOLMANE",1,2020-12-01,2020,"1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
"SVEIO",10060,"Fjon",1,2011-11-23,2011,"1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra"
"ØYGARDEN",10062,"Sjøanlegg till oppdrettslokalitet Parisvatnet.",1,2010-05-04,2010,"1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt"
"GULEN",10078,"MJÅNES",1,2005-08-10,2005,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"GULEN",10078,"Mjåneset",1,2012-07-10,2012,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"GULEN",10078,"MJÅNES",1,2014-07-11,2014,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"GULEN",10078,"MJÅNES",2,2016-01-12,2016,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"GULEN",10078,"MJÅNES",1,2016-04-11,2016,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"GULEN",10078,"MJÅNES",2,2017-05-23,2017,"1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
"ALVER",10080,"Laksevika",1,2009-06-24,2009,"1263","Alver",637.0389369,162.042687,4,"Sotra - Stadt"
"ALVER",10080,"LAKSEVIKA",1,2011-11-08,2011,"1263","Alver",637.0389369,162.042687,4,"Sotra - Stadt"
