"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","laks_jan_beh_kg","laks_feb_beh_kg","laks_mar_beh_kg","laks_apr_beh_kg","laks_mai_beh_kg","laks_jun_beh_kg","laks_jul_beh_kg","laks_aug_beh_kg","laks_sep_beh_kg","laks_okt_beh_kg","laks_nov_beh_kg","laks_des_beh_kg","regnb_jan_beh_kg","regnb_feb_beh_kg","regnb_mar_beh_kg","regnb_apr_beh_kg","regnb_mai_beh_kg","regnb_jun_beh_kg","regnb_jul_beh_kg","regnb_aug_beh_kg","regnb_sep_beh_kg","regnb_okt_beh_kg","regnb_nov_beh_kg","regnb_des_beh_kg"
2005,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",6690155.229,6747981.873,5976612.463,5971361.934,5697849.092,5073217.245,4170121.382,4902105.291,6050808.528,7117527.842,7913568.655,8362231.409,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",2891783.422,3150581.542,1441729.707,1574705.03,1871462.519,2113948.656,1980791.21,1764738.974,1724632.74,1704363.878,1487367.123,226981.8,646.393,722.302,811.221,921.474,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",702194.87,452653.044,0,0,0,0,0,0,15849.534,44454.698,80740.122,126559.081,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",31498.235,28357.958,17951.031,24673.65,15293.94,15807.11,17657.07,20354.587,23487.39,27921.245,27927.68,26359.59,0,0,0,0,0,0,0,19.092,58.867,0,319.032,429
2005,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",548389.736,596590.275,645125.11,638879.815,576776.404,0,139214.183,225015.529,344198.946,522887.226,624669.895,615488.347,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1127","Randaberg",90.72090124,66.0074138,2,"Ryfylke",0,0,0,0,0,0,0,0,432385.668,630257.698,817382.557,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",10776.138,14062.376,18620.15,51015.785,69921.669,465.966,0,0,0,0,8718.649,13564.48,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",4684723.766,4792390.035,4198630.732,2354230.76,2975955.131,3738033.549,4109248.64,5055464.496,5349952.615,5664064.108,5430139.314,4683251.051,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",3113063.008,3229644.126,2671205.784,3021574.71,2486734.597,1567898.304,1296313.64,2945204.148,2362101.031,4348409.423,5001441.085,5650053.429,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",8804014.96,9055190.056,7105576.565,8542082.138,8328497.706,8059515.692,10015845.04,8315264.733,9769008.41,10495991.135,10789727.664,8309973.303,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",2600615.369,2441152.638,2255207.284,2155396.86,1994218.486,997897.749,596760.974,173568.918,277139.384,382554.577,665169.1,696432.451,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",769492.831,827961.736,919968.471,1032272.175,1238075.24,1309788.845,1611532.228,1612752.607,1098268.296,0,0,774584.019,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",2671970.567,2581794.497,2983970.407,3281850.433,3726488.736,3443897.381,3010866.906,3288013.755,3791728.847,3664729.923,3397475.408,2936045.949,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",1189578.332,1312470.371,1169186.24,1285584.606,1268656.561,1206702.273,928778.24,1153107.391,1375686.815,1326145.758,1005031.915,956559.119,0,0,0,0,0,0,0,0,0,0,0,0
2005,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",2127771.243,1957173.324,1620372.306,1350108.274,1097494.479,1412058.986,1950787.872,2716479.826,3450034.476,4178249.211,4833116.022,5078503.459,63833.8,47861.63,38630.87,0,44392.77,47970.8,51347.8,54661,57775.9,90335.05,100167.56,99073.05
2005,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",0,0,0,600,539,552,604,174,159.8,152.1,135,152.25,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",3085382.208,3459478.895,2853699.544,1713407.922,1295329.205,890948.541,1255449.546,1905868.913,2476577.895,3128083.75,3807311.383,4183036.603,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",4043516.928,3342700.077,2160230.857,3347911.232,2669163.161,2850231.589,2571028.304,2770414.42,3155814.332,3059603.718,2357731.551,605610.962,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",5176686.076,3783063.371,3818838.528,4159280.48,3042128.501,2538520.668,2334283.789,2826065.012,3548502.857,4283280.037,4622469.47,5107786.43,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",609261.082,696936.568,781468.381,763480.589,1129560.431,1255507.961,1312127.599,1539484.649,1892564.097,1961139.48,2204531.365,590136.834,0,0,0,0,0,0,67300.32,0,0,0,0,0
2005,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",2065391.288,2265085.661,2191224.147,2282628.283,2730498.014,3301498.357,3735237.209,4368469.124,3586257.684,4398424.592,4556745.451,3379362.71,361810.419,433452.983,148688.6,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",2085956.99,2415202.747,2817912.045,3458400.488,4143345.155,4523972.948,4642013.45,4478730.873,3707437.621,3598810.353,2988831.835,3405378.024,0,0,0,59503.449,788086.073,179768.488,246284.01,83501.638,596317.59,791148.257,915752.564,1036055.872
2005,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",8739499.786,7992187.324,8926030.241,9065108.701,8279904.139,8763390.535,9579842.894,10278095.078,10853321.876,10114355.06,10695771.807,12571572.269,42188.24,47899.6,51297.46,59369.7,65905.7,52306.2,64358,77675.6,90489.8,97518.05,100210.36,68561.88
2005,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",2448400.078,2136403.366,830800.482,1667719.705,1283605.733,1705929.908,2255920.665,2914096.415,3077405.182,3454502.22,3481997.468,3281192.629,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",2797530.354,3011758.561,2911941.479,2652456.421,2618541.538,1920146.823,1919199.221,2630553.375,2949322.965,3071675.596,3221547.254,3317011.93,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",5053633.243,4949209.447,4888755.079,4891738.578,5203986.789,5215055.043,5350522.229,6066693.903,6047090.74,6774638.233,6738927.123,6450141.713,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1221634.7,1268803.7,1302137.1,1265693.927,814543.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",844928.655,962524.372,825511.729,1174111.758,1360240.71,1322815.989,768346.817,636402.408,903110.171,1138035.939,1274083.885,1358200.088,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",8381887.242,8165296.98,5925637.624,5711850.295,4371040.199,3662143.062,3257801.039,3896126.427,1908161.109,5272952.571,5842529.825,6066233.612,1270924.264,888571.016,323172.56,549194.2,638717.009,992273.44,1453708.215,1514183.05,1155.2,1671960.282,1768924.471,1404628.059
2005,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",2167153.505,1147951.056,584498.473,322633.601,610779.425,463877.426,1136851.448,1454214.061,1612058.697,2382910.737,2648602.456,2857396.382,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",4231284.302,4296691.619,4656483.439,1832150.58,2707020.776,2056074.372,1913554.5,1501802.205,1090546.146,823525.975,383983.342,403182.812,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",749961.197,465241.698,471866.442,485105.773,408194.595,389519.947,196948.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",614857.401,0,0,0,0,0,0,0,0,0,0,0,4866906.493,5656717.88,6209691.021,6144440.106,5677145.896,6452712.637,6070842.194,5780627.812,4719811.526,4651703.35,4418617.05,5801822.041
