"","aquaprod_id","aquaprod_area_name","fid","lok","havomr","lokasjon","lokref","area_of_intersection_km2","fishpol_area_km2","proportion_fishpol_in_aqupaprod"
"1","1","Svenskegrensen - Jæren","2112","0936","09","36","09-36",1181.1191,1185.7713,1
"2","1","Svenskegrensen - Jæren","2113","0822","08","22","08-22",104.7907,105.2629,1
"3","9","Vestfjorden - Vesterålen","1010","0047","00","47","00-47",181.8149,181.6751,1
"4","4","Sotra - Stadt","1197","0715","07","15","07-15",9.4845,2865.7658,0.0033
"5","5","Stad - Hustadvika","1197","0715","07","15","07-15",1031.9633,2865.7658,0.3601
"6","6","Nordmøre - Sør-Trøndelag","1205","0610","06","10","06-10",713.5425,2658.4104,0.2684
"7","7","Nord-Trøndelag - Bindal","1205","0610","06","10","06-10",1.5465,2658.4104,0.0006
"8","2","Ryfylke","1232","0813","08","13","08-13",21.0954,3208.9887,0.0066
"9","3","Karmøy - Sotra","1232","0813","08","13","08-13",201.4784,3208.9887,0.0628
"10","3","Karmøy - Sotra","1234","0804","08","04","08-04",3000.1092,3155.8511,1
"11","1","Svenskegrensen - Jæren","1255","0935","09","35","09-35",0.3477,15.8732,0.0219
"12","4","Sotra - Stadt","1273","0705","07","05","07-05",2264.0173,2914.6319,0.7768
"13","5","Stad - Hustadvika","1273","0705","07","05","07-05",514.1099,2914.6319,0.1764
"14","8","Helgeland - Bodø","1738","0626","06","26","06-26",445.7829,2507.2606,0.1778
"15","9","Vestfjorden - Vesterålen","1739","0048","00","48","00-48",489.2953,488.939,1
"16","9","Vestfjorden - Vesterålen","1740","0524","05","24","05-24",1984.3895,2041.3489,1
"17","10","Andfjorden - Senja","1740","0524","05","24","05-24",55.3671,2041.3489,0.0271
"18","9","Vestfjorden - Vesterålen","1742","0528","05","28","05-28",324.3311,2153.8112,0.1506
"19","10","Andfjorden - Senja","1742","0528","05","28","05-28",125.5735,2153.8112,0.0583
"20","9","Vestfjorden - Vesterålen","1743","0520","05","20","05-20",2522.1779,2520.1903,1
"21","9","Vestfjorden - Vesterålen","1744","0523","05","23","05-23",1404.6865,2204.517,0.6372
"22","10","Andfjorden - Senja","1745","0529","05","29","05-29",1362.0927,2153.9762,0.6324
"23","7","Nord-Trøndelag - Bindal","1771","0622","06","22","06-22",421.5457,2556.7701,0.1649
"24","8","Helgeland - Bodø","1771","0622","06","22","06-22",1252.7128,2556.7701,0.49
"25","5","Stad - Hustadvika","1787","0718","07","18","07-18",918.0588,2813.2712,0.3263
"26","5","Stad - Hustadvika","1800","0719","07","19","07-19",2210.8055,2810.1779,0.7867
"27","6","Nordmøre - Sør-Trøndelag","1800","0719","07","19","07-19",451.363,2810.1779,0.1606
"28","4","Sotra - Stadt","1803","2810","28","10","28-10",1177.4341,3064.8295,0.3842
"29","4","Sotra - Stadt","1804","2811","28","11","28-11",1506.9655,3016.357,0.4996
"30","3","Karmøy - Sotra","1805","0814","08","14","08-14",6.9447,3161.149,0.0022
"31","8","Helgeland - Bodø","1","0054","00","54","00-54",1827.2992,3776.4503,0.4839
"32","7","Nord-Trøndelag - Bindal","2","0636","06","36","06-36",2136.1588,2135.3432,1
"33","8","Helgeland - Bodø","2","0636","06","36","06-36",0.2527,2135.3432,0.0001
"34","6","Nordmøre - Sør-Trøndelag","3","0726","07","26","07-26",3927.1238,5377.7997,0.7302
"35","6","Nordmøre - Sør-Trøndelag","4","0637","06","37","06-37",7.4729,5397.6271,0.0014
"36","7","Nord-Trøndelag - Bindal","4","0637","06","37","06-37",5391.2629,5397.6271,1
"37","8","Helgeland - Bodø","5","0634","06","34","06-34",1440.8814,1449.1597,1
"38","7","Nord-Trøndelag - Bindal","6","0635","06","35","06-35",9.0297,3803.7422,0.0024
"39","8","Helgeland - Bodø","6","0635","06","35","06-35",3796.6615,3803.7422,1
"40","6","Nordmøre - Sør-Trøndelag","8","0727","07","27","07-27",2921.9698,3119.1252,0.9368
"41","7","Nord-Trøndelag - Bindal","8","0727","07","27","07-27",127.2851,3119.1252,0.0408
"42","8","Helgeland - Bodø","9","0053","00","53","00-53",1660.3618,2557.3858,0.6492
"43","9","Vestfjorden - Vesterålen","9","0053","00","53","00-53",899.0269,2557.3858,0.3515
"44","9","Vestfjorden - Vesterålen","10","0037","00","37","00-37",2926.4898,3282.5791,0.8915
"45","8","Helgeland - Bodø","11","0005","00","05","00-05",2007.7791,2608.7837,0.7696
"46","9","Vestfjorden - Vesterålen","11","0005","00","05","00-05",602.8274,2608.7837,0.2311
"47","8","Helgeland - Bodø","12","0632","06","32","06-32",2768.5978,2766.6837,1
"48","8","Helgeland - Bodø","13","0633","06","33","06-33",3375.8942,3374.1141,1
"49","6","Nordmøre - Sør-Trøndelag","14","0728","07","28","07-28",3632.7411,3638.1045,1
"50","8","Helgeland - Bodø","16","0051","00","51","00-51",188.5904,3818.3495,0.0494
"51","9","Vestfjorden - Vesterålen","16","0051","00","51","00-51",2434.0758,3818.3495,0.6375
"52","12","Vest-Finnmark","18","0324","03","24","03-24",5079.7753,5155.1973,1
"53","9","Vestfjorden - Vesterålen","19","0541","05","41","05-41",608.9359,6245.2774,0.0975
"54","10","Andfjorden - Senja","19","0541","05","41","05-41",5530.0881,6245.2774,0.8855
"55","13","Øst-Finnmark","27","0302","03","02","03-02",6600.3572,8875.0867,0.7437
