"fylkenummer" "kommunenummer" "knum" "komname" "Totalt_areal_inkl_12nm" "Havflate_12nm" "id" "name"
"1" "01" "0111" 111 "Hvaler" 518.5621216 428.4446309 1 "Svenskegrensen -> Jæren"
"2" "01" "0106" 106 "Fredrikstad" 559.1498165 266.5938232 1 "Svenskegrensen -> Jæren"
"3" "01" "0135" 135 "Råde" 158.8640382 40.09752692 1 "Svenskegrensen -> Jæren"
"4" "01" "0105" 105 "Sarpsborg" 427.0707016 21.46621266 1 "Svenskegrensen -> Jæren"
"5" "01" "0136" 136 "Rygge" 126.9531625 52.76208266 1 "Svenskegrensen -> Jæren"
"6" "01" "0101" 101 "Halden" 661.433065 19.12684349 1 "Svenskegrensen -> Jæren"
"7" "01" "0104" 104 "Moss" 125.1088063 61.52950787 1 "Svenskegrensen -> Jæren"
"8" "02" "0211" 211 "Vestby" 151.4675075 17.49338291 1 "Svenskegrensen -> Jæren"
"9" "02" "0215" 215 "Frogn" 115.37293 29.67292071 1 "Svenskegrensen -> Jæren"
"10" "02" "0216" 216 "Nesodden" 116.5567628 55.09294023 1 "Svenskegrensen -> Jæren"
"11" "02" "0214" 214 "Ås" 104.1238403 1.023701388 1 "Svenskegrensen -> Jæren"
"12" "02" "0220" 220 "Asker" 130.9575305 30.24587666 1 "Svenskegrensen -> Jæren"
"13" "02" "0217" 217 "Oppegård" 45.46657197 8.422046091 1 "Svenskegrensen -> Jæren"
"15" "02" "0219" 219 "Bærum" 216.7165371 24.42984981 1 "Svenskegrensen -> Jæren"
"16" "03" "0301" 301 "Oslo" 480.7547456 26.63780672 1 "Svenskegrensen -> Jæren"
"17" "06" "0626" 626 "Lier" 307.5294308 5.875252364 1 "Svenskegrensen -> Jæren"
"18" "06" "0602" 602 "Drammen" 145.9288004 7.754195817 1 "Svenskegrensen -> Jæren"
"19" "06" "0627" 627 "Røyken" 143.1433353 30.50036809 1 "Svenskegrensen -> Jæren"
"20" "06" "0628" 628 "Hurum" 260.7128682 97.45118974 1 "Svenskegrensen -> Jæren"
"21" "07" "0712" 712 "Larvik" 1559.416499 746.528115 1 "Svenskegrensen -> Jæren"
"22" "07" "0715" 715 "Holmestrand" 257.5211381 8.336095487 1 "Svenskegrensen -> Jæren"
"23" "07" "0713" 713 "Sande" 199.8896036 21.55567764 1 "Svenskegrensen -> Jæren"
"24" "07" "0716" 716 "Re" 249.6819785 25.01674117 1 "Svenskegrensen -> Jæren"
"25" "07" "0711" 711 "Svelvik" 77.51407388 19.79057818 1 "Svenskegrensen -> Jæren"
"26" "07" "0710" 710 "Sandefjord" 606.5592675 184.2981303 1 "Svenskegrensen -> Jæren"
"27" "07" "0704" 704 "Tønsberg" 163.7770004 53.75961132 1 "Svenskegrensen -> Jæren"
"28" "07" "0701" 701 "Horten" 149.5507996 79.17029936 1 "Svenskegrensen -> Jæren"
