Linjenr,Løpenummer,Navn,Type,Hovedeier,Org_nr__hovedeier,Fylke,Fylkesnr_,Kommune,Kommunenr_,Dato_for_første_utnyttelse_av_fallet,Dato_for_eldste_kraftproduserende_del,Maks_ytelse_.MW.,Midl__årsproduksjon_.ref__1981.2010._.GWh.,Brutto_fallhøyde_.m.,Maksimal_slukeevne_.m3.s.,Energiekvivalent_.kWh.m3.,Elspotområde,Reginenr,Vannregion,Year_start,PZ
52,2018,Graffer,Kraftverk,GRAFFER_KRAFT_AS,920804039,Innlandet,34,Lom,34,15.06.2021,15.06.2021,3.3,8.7,185.4,2.4,0.382,3,002.DHB4Z,2,2021,1
60,2033,Hinøgla,Kraftverk,HAFSLUND_ECO_VANNKRAFT_AS,976894677,Innlandet,34,Nord-Fron,36,03.05.2021,03.05.2021,3.2,10.5,94,4,0.222,1,002.DFBB0,2,2021,1
96,1949,Tolga,Kraftverk,HAFSLUND_ECO_VANNKRAFT_AS,976894677,Innlandet,34,Tolga,26,08.04.2021,08.04.2021,43.1,205,87.8,60,0.2,1,002.P6,2,2021,1
128,2069,Nedre_Åssiden,Kraftverk,GLITREVANNVERKET_IKS,971034637,Viken,30,Drammen,5,23.11.2021,23.11.2021,0.17,1.4,98,0.2,0.236,1,012.A10,12,2021,1
129,2068,Øvre_Åssiden,Kraftverk,GLITREVANNVERKET_IKS,971034637,Viken,30,Drammen,5,01.12.2021,01.12.2021,0.66,2.6,174,0.46,0.399,1,012.A10,12,2021,1
269,2055,Gjuvåa,Kraftverk,GJUVÅA_KRAFTVERK_AS,923799222,Vestfold_og_Telemark,38,Hjartdal,19,26.08.2021,26.08.2021,4.8,14.5,282.5,2.1,0.635,2,016.EAC1A,16,2021,1
336,1991,Vesle_Kjela,Kraftverk,STATKRAFT_ENERGI_AS,987059729,Vestfold_og_Telemark,38,Vinje,25,11.02.2021,11.02.2021,8.5,31,60.6,20,0.118,2,016.BEE7,16,2021,1
388,2017,Åmotsfoss,Kraftverk,ÅMOTSFOSS_KRAFT_AS,921657145,Vestfold_og_Telemark,38,Nissedal,22,02.11.2021,02.11.2021,3.78,22.5,4.7,96,0.011,2,019.D621,19,2021,1
455,2025,Flikka,Kraftverk,SIRDAL_KRAFT_AS,920828108,Agder,42,Flekkefjord,7,12.05.2021,12.05.2021,1.93,5.8,117.8,1.939,0.276,2,025.52B,25,2021,1
486,2024,Breilobekken,Kraftverk,SIRDAL_KRAFT_AS,920828108,Agder,42,Sirdal,28,03.06.2021,03.06.2021,1.77,4.4,233.4,0.88,0.559,2,026.F212,26,2021,1
543,2040,Sagåna,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Rogaland,11,Hjelmeland,33,29.11.2021,29.11.2021,3.67,10.9,422.7,1.05,0.971,2,032.4E,32,2021,2
612,2048,Grøndalselva,Kraftverk,GRØNDALSELVA_KRAFT_AS,921862679,Vestland,46,Ullensvang,18,03.12.2021,03.12.2021,3.3,9.04,124.55,3.2,0.286,2,036.E3AZ,36,2021,2
