From,To,,,,,
Aquaculture,Parasites,,,,,
Aquaculture,Genetic introgression,,,,,
Aquaculture,Diseases,,,,,
Aquaculture,Pollution,,,,,
Aquaculture,Physiological impact,,,,,
Aquaculture,Species extraction,,,,,
Fisheries,Species extraction,,,,,
Fisheries,Abrasion,,,,,
Fisheries,Biochecmical habitat change,,,,,
Fisheries,Slitation,,,,,
Fisheries,Bycatch,,,,,
Fisheries,Litter,,,,,
Fisheries,Litter,,,,,
Fisheries,Ghost fishing,,,,,
Recreational fisheries,Species extraction,,,,,
Recreational fisheries,Bycatch,,,,,
Recreational fisheries,Bycatch,,,,,
Recreational fisheries,Ghost fishing,,,,,
Shipping and transportation,Noise,,,,,
Shipping and transportation,Pollution,,,,,
Shipping and transportation,Abrasion,,,,,
Shipping and transportation,Litter,,,,,
Shipping and transportation,Organic matter,,,,,
Shipping and transportation,Non-indigenous species,,,,,
Shipping and transportation,Acidification,,,,,
Shipping and transportation,Incidental loss,,,,,
Shipping and transportation,Shoreline erosion,,,,,
Shipping and transportation,Light pollution,,,,,
Shipping and transportation,Slitation,,,,,
Mining,Slitation,,,,,
Mining,Deposition,,,,,
Mining,Sealing,,,,,
Mining,Pollution,,,,,
Hydropower,Incidental loss,,,,,
Hydropower,Salinity change,,,,,
Hydropower,Temperature change,,,,,
Hydropower,Currents and circualtion,,,,,
Hydropower,Nutrients,,,,,
Human population and tourism,Noise,,,,,
Human population and tourism,Pollution,,,,,
Human population and tourism,Species extraction,,,,,
Human population and tourism,Seabed damage,,,,,
Human population and tourism,Eutrophication,,,,,
Human population and tourism,Disturbance,,,,,
Parasites,Anadromous fish,,,,,
Genetic introgression,Anadromous fish,,,,,
Diseases,Anadromous fish,,,,,
Pollution,Benthic communities,,,,,
Pollution,Fish juveniles,,,,,
Pollution,Crustaceans,,,,,
Pollution,Phytoplankton,,,,,
Pollution,Seabirds,,,,,
Pollution,Macroalgae,,,,,
Pollution,Seagrass,,,,,
Pollution,Coral reefs,,,,,
Pollution,Pelagic fish,,,,,
Pollution,Demersal fish,,,,,
Species extraction,Pelagic fish,,,,,
Species extraction,Demersal fish,,,,,
Species extraction,Shrimp,,,,,
Species extraction,Kelp,,,,,
Species extraction,Crustaceans,,,,,
Species extraction,Cleaner fish,,,,,
Species extraction,Lumpfish,,,,,
Species extraction,Wrasse,,,,,
Abrasion,Benthic communities,,,,,
Acidification,Phytoplankton,,,,,
Biochecmical habitat change,Benthic communities,,,,,
Bycatch,Marine mammals,,,,,
Bycatch,Seabirds,,,,,
Bycatch,Pelagic fish,,,,,
Currents and circualtion,Phytoplankton,,,,,
Currents and circualtion,Zooplankton,,,,,
Deposition,Benthic communities,,,,,
Bycatch,Demersal fish,,,,,
Ghost fishing,Pelagic fish,,,,,
Ghost fishing,Demersal fish,,,,,
Ghost fishing,Seabirds,,,,,
Ghost fishing,Marine mammals,,,,,
Incidental loss,Marine mammals,,,,,
Light pollution,Zooplankton,,,,,
Light pollution,Pelagic fish,,,,,
Light pollution,Seabirds,,,,,
Litter,Benthic communities,,,,,
Litter,Marine mammals,,,,,
Litter,Pelagic fish,,,,,
Litter,Demersal fish,,,,,
Litter,Seabirds,,,,,
Noise,Pelagic fish,,,,,
Noise,Demersal fish,,,,,
Noise,Marine mammals,,,,,
Noise,Seabirds,,,,,
Non-indigenous species,Benthic communities,,,,,
Non-indigenous species,Demersal fish,,,,,
Nutrients,Phytoplankton,,,,,
Organic matter,Phytoplankton,,,,,
Salinity change,Phytoplankton,,,,,
Salinity change,Zooplankton,,,,,
Sealing,Benthic communities,,,,,
Sealing,Demersal fish,,,,,
Shoreline erosion,Oyster reefs,,,,,
Shoreline erosion,Benthic communities,,,,,
Shoreline erosion,Seabirds,,,,,
Slitation,Macroalgae,,,,,
Slitation,Seagrass,,,,,
Slitation,Pelagic fish,,,,,
Slitation,Demersal fish,,,,,
Temperature change,Phytoplankton,,,,,
Temperature change,Zooplankton,,,,,
Seabed damage,Benthic communities,,,,,
Seabed damage,Seagrass,,,,,
Seabed damage,Kelp,,,,,
Eutrophication,Phytoplankton,,,,,
Pollution,Zooplankton,,,,,
Eutrophication,Kelp,,,,,
Eutrophication,Seagrass,,,,,
Bycatch,Benthic communities,,,,,
Noise,Benthic communities,,,,,
Disturbance,Seabirds,,,,,
Pollution,Seabirds,,,,,
Pollution,Marine mammals,,,,,
