year,prod_area_id,pop_tot,prod_area_id_name,prod_area_name,standardized_population
2019,1,2631343,1: Svenskegrensen - Jæren,Svenskegrensen - Jæren,1
2019,2,362262,2: Ryfylke,Ryfylke,0.13767190366288243
2019,3,458438,3: Karmøy - Sotra,Karmøy - Sotra,0.17422206074996685
2019,4,227499,4: Sotra - Stadt,Sotra - Stadt,0.08645737176795272
2019,5,205104,5: Stad - Hustadvika,Stad - Hustadvika,0.0779465086839686
2019,6,469129,6: Nordmøre - Sør-Trøndelag,Nordmøre - Sør-Trøndelag,0.1782850050335513
2019,7,40943,7: Nord-Trøndelag - Bindal,Nord-Trøndelag - Bindal,0.015559735085847798
2019,8,131024,8: Helgeland - Bodø,Helgeland - Bodø,0.04979358449278562
2019,9,110508,9: Vestfjorden - Vesterålen,Vestfjorden - Vesterålen,0.041996805433575174
2019,10,67177,10: Andfjorden - Senja,Andfjorden - Senja,0.02552954897936149
2019,11,98617,11: Kvaløya - Loppa,Kvaløya - Loppa,0.03747782026136463
2019,12,44647,12: Vest-Finnmark,Vest-Finnmark,0.016967381295406946
2019,13,25473,13: Øst-Finnmark,Øst-Finnmark,0.00968060796330999
