year,prod_area_id,prod_area_name,prod_area_name2,N_discharge_ton,P_discharge_ton
2002,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,775.6979031833777,43.08290179148556
2002,2,Ryfylke,2: Ryfylke,1070.9627605537823,109.93576820873358
2002,3,Karmøy - Sotra,3: Karmøy - Sotra,1688.8564357799232,236.7544503955162
2002,4,Sotra - Stadt,4: Sotra - Stadt,711.8253758097218,96.45333656785382
2002,5,Stad - Hustadvika,5: Stad - Hustadvika,1027.3503652903012,137.90200512580725
2002,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1342.623524745963,177.62733604998334
2002,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1371.6326289456567,181.0690772073143
2002,8,Helgeland - Bodø,8: Helgeland - Bodø,927.6,137.7
2002,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,920.9598529177315,136.25376901244832
2002,10,Andfjorden - Senja,10: Andfjorden - Senja,749.7253137048787,98.95870706870654
2002,11,Kvaløya - Loppa,11: Kvaløya - Loppa,734.4561974760118,95.8300037545203
2002,12,Vest-Finnmark,12: Vest-Finnmark,341.52806150638855,46.34357939032193
2002,13,Øst-Finnmark,13: Øst-Finnmark,338.8,46
2003,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,786.9373467841875,44.68380987938471
2003,2,Ryfylke,2: Ryfylke,1091.0143974631058,115.67586615116686
2003,3,Karmøy - Sotra,3: Karmøy - Sotra,1727.1812129241223,231.4950843281172
2003,4,Sotra - Stadt,4: Sotra - Stadt,713.1302619402002,95.44246516362752
2003,5,Stad - Hustadvika,5: Stad - Hustadvika,1033.7379462777076,138.73797709106472
2003,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1346.7722444199649,173.01168718011164
2003,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1376.8223182127774,176.19361204859078
2003,8,Helgeland - Bodø,8: Helgeland - Bodø,945.3,143.5
2003,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,937.8254888864516,141.92513789095938
2003,10,Andfjorden - Senja,10: Andfjorden - Senja,745.0745677829784,101.31296707241363
2003,11,Kvaløya - Loppa,11: Kvaløya - Loppa,728.1815264651085,97.9176087173027
2003,12,Vest-Finnmark,12: Vest-Finnmark,339.8958295076956,46.159352496065246
2003,13,Øst-Finnmark,13: Øst-Finnmark,337.2,45.8
2004,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,801.5545905516142,40.31714051966639
