year,prod_area_id,prod_area_name,prod_area_name2,method,organic_discharge_ton
2008,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),1049.291743227338
2008,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,Målt ved kjemisk oksygenforbruk (KOF) (tonn),3567.834105802573
2008,2,Ryfylke,2: Ryfylke,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),2355.6034030227565
2008,2,Ryfylke,2: Ryfylke,Målt ved kjemisk oksygenforbruk (KOF) (tonn),7425.382173102393
2008,3,Karmøy - Sotra,3: Karmøy - Sotra,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),5308.181613065466
2008,3,Karmøy - Sotra,3: Karmøy - Sotra,Målt ved kjemisk oksygenforbruk (KOF) (tonn),18110.87424421606
2008,4,Sotra - Stadt,4: Sotra - Stadt,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),1894.8227134849114
2008,4,Sotra - Stadt,4: Sotra - Stadt,Målt ved kjemisk oksygenforbruk (KOF) (tonn),5944.105460470228
2008,5,Stad - Hustadvika,5: Stad - Hustadvika,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),2837.0523413162878
2008,5,Stad - Hustadvika,5: Stad - Hustadvika,Målt ved kjemisk oksygenforbruk (KOF) (tonn),7777.201020576307
2008,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),NA
2008,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,Målt ved kjemisk oksygenforbruk (KOF) (tonn),NA
2008,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),NA
2008,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,Målt ved kjemisk oksygenforbruk (KOF) (tonn),NA
2008,8,Helgeland - Bodø,8: Helgeland - Bodø,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),3199
2008,8,Helgeland - Bodø,8: Helgeland - Bodø,Målt ved kjemisk oksygenforbruk (KOF) (tonn),8828
2008,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),3141.498412177633
2008,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,Målt ved kjemisk oksygenforbruk (KOF) (tonn),8675.728564291434
2008,10,Andfjorden - Senja,10: Andfjorden - Senja,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),1658.6610935490535
2008,10,Andfjorden - Senja,10: Andfjorden - Senja,Målt ved kjemisk oksygenforbruk (KOF) (tonn),4748.988869253237
2008,11,Kvaløya - Loppa,11: Kvaløya - Loppa,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),1541.5994484850764
2008,11,Kvaløya - Loppa,11: Kvaløya - Loppa,Målt ved kjemisk oksygenforbruk (KOF) (tonn),4437.313322259756
2008,12,Vest-Finnmark,12: Vest-Finnmark,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),918.3273172713201
2008,12,Vest-Finnmark,12: Vest-Finnmark,Målt ved kjemisk oksygenforbruk (KOF) (tonn),2478.599160299568
2008,13,Øst-Finnmark,13: Øst-Finnmark,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),914
2008,13,Øst-Finnmark,13: Øst-Finnmark,Målt ved kjemisk oksygenforbruk (KOF) (tonn),2465
2009,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),1414.6197528287519
2009,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,Målt ved kjemisk oksygenforbruk (KOF) (tonn),4163.113347470835
2009,2,Ryfylke,2: Ryfylke,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),3534.86712172009
2009,2,Ryfylke,2: Ryfylke,Målt ved kjemisk oksygenforbruk (KOF) (tonn),10365.401177029875
2009,3,Karmøy - Sotra,3: Karmøy - Sotra,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),6127.710114923457
2009,3,Karmøy - Sotra,3: Karmøy - Sotra,Målt ved kjemisk oksygenforbruk (KOF) (tonn),20962.624736832753
2009,4,Sotra - Stadt,4: Sotra - Stadt,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),2488.3565840068845
2009,4,Sotra - Stadt,4: Sotra - Stadt,Målt ved kjemisk oksygenforbruk (KOF) (tonn),7233.4644600448655
2009,5,Stad - Hustadvika,5: Stad - Hustadvika,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),3561.895893366467
2009,5,Stad - Hustadvika,5: Stad - Hustadvika,Målt ved kjemisk oksygenforbruk (KOF) (tonn),7928.892300073668
2009,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),NA
2009,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,Målt ved kjemisk oksygenforbruk (KOF) (tonn),NA
2009,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,Målt ved biokjemisk oksygenforbruk (BOF5) (tonn),NA
