year,prod_area_id,prod_area_name,number_of_stations_pa,prod_area_name2
2002,1,Svenskegrensen - Jæren,80,1: Svenskegrensen - Jæren
2002,2,Ryfylke,168,2: Ryfylke
2002,3,Karmøy - Sotra,438,3: Karmøy - Sotra
2002,4,Sotra - Stadt,258,4: Sotra - Stadt
2002,5,Stad - Hustadvika,479,5: Stad - Hustadvika
2002,6,Nordmøre - Sør-Trøndelag,338,6: Nordmøre - Sør-Trøndelag
2002,7,Nord-Trøndelag - Bindal,272,7: Nord-Trøndelag - Bindal
2002,8,Helgeland - Bodø,322,8: Helgeland - Bodø
2002,9,Vestfjorden - Vesterålen,316,9: Vestfjorden - Vesterålen
2002,10,Andfjorden - Senja,151,10: Andfjorden - Senja
2002,11,Kvaløya - Loppa,138,11: Kvaløya - Loppa
2002,12,Vest-Finnmark,121,12: Vest-Finnmark
2002,13,Øst-Finnmark,121,13: Øst-Finnmark
2003,1,Svenskegrensen - Jæren,80,1: Svenskegrensen - Jæren
2003,2,Ryfylke,168,2: Ryfylke
2003,3,Karmøy - Sotra,435,3: Karmøy - Sotra
2003,4,Sotra - Stadt,255,4: Sotra - Stadt
2003,5,Stad - Hustadvika,473,5: Stad - Hustadvika
2003,6,Nordmøre - Sør-Trøndelag,338,6: Nordmøre - Sør-Trøndelag
2003,7,Nord-Trøndelag - Bindal,274,7: Nord-Trøndelag - Bindal
2003,8,Helgeland - Bodø,317,8: Helgeland - Bodø
2003,9,Vestfjorden - Vesterålen,311,9: Vestfjorden - Vesterålen
2003,10,Andfjorden - Senja,147,10: Andfjorden - Senja
2003,11,Kvaløya - Loppa,134,11: Kvaløya - Loppa
2003,12,Vest-Finnmark,119,12: Vest-Finnmark
2003,13,Øst-Finnmark,119,13: Øst-Finnmark
2004,1,Svenskegrensen - Jæren,78,1: Svenskegrensen - Jæren
2004,2,Ryfylke,166,2: Ryfylke
2004,3,Karmøy - Sotra,436,3: Karmøy - Sotra
2004,4,Sotra - Stadt,254,4: Sotra - Stadt
2004,5,Stad - Hustadvika,468,5: Stad - Hustadvika
2004,6,Nordmøre - Sør-Trøndelag,337,6: Nordmøre - Sør-Trøndelag
2004,7,Nord-Trøndelag - Bindal,275,7: Nord-Trøndelag - Bindal
2004,8,Helgeland - Bodø,321,8: Helgeland - Bodø
2004,9,Vestfjorden - Vesterålen,314,9: Vestfjorden - Vesterålen
2004,10,Andfjorden - Senja,147,10: Andfjorden - Senja
2004,11,Kvaløya - Loppa,134,11: Kvaløya - Loppa
2004,12,Vest-Finnmark,119,12: Vest-Finnmark
2004,13,Øst-Finnmark,119,13: Øst-Finnmark
2005,1,Svenskegrensen - Jæren,79,1: Svenskegrensen - Jæren
2005,2,Ryfylke,169,2: Ryfylke
2005,3,Karmøy - Sotra,431,3: Karmøy - Sotra
2005,4,Sotra - Stadt,252,4: Sotra - Stadt
2005,5,Stad - Hustadvika,470,5: Stad - Hustadvika
2005,6,Nordmøre - Sør-Trøndelag,339,6: Nordmøre - Sør-Trøndelag
2005,7,Nord-Trøndelag - Bindal,276,7: Nord-Trøndelag - Bindal
2005,8,Helgeland - Bodø,319,8: Helgeland - Bodø
2005,9,Vestfjorden - Vesterålen,312,9: Vestfjorden - Vesterålen
2005,10,Andfjorden - Senja,145,10: Andfjorden - Senja
2005,11,Kvaløya - Loppa,132,11: Kvaløya - Loppa
2005,12,Vest-Finnmark,119,12: Vest-Finnmark
2005,13,Øst-Finnmark,119,13: Øst-Finnmark
2006,1,Svenskegrensen - Jæren,78,1: Svenskegrensen - Jæren
2006,2,Ryfylke,167,2: Ryfylke
2006,3,Karmøy - Sotra,418,3: Karmøy - Sotra
2006,4,Sotra - Stadt,248,4: Sotra - Stadt
2006,5,Stad - Hustadvika,468,5: Stad - Hustadvika
2006,6,Nordmøre - Sør-Trøndelag,336,6: Nordmøre - Sør-Trøndelag
2006,7,Nord-Trøndelag - Bindal,273,7: Nord-Trøndelag - Bindal
2006,8,Helgeland - Bodø,319,8: Helgeland - Bodø
2006,9,Vestfjorden - Vesterålen,312,9: Vestfjorden - Vesterålen
2006,10,Andfjorden - Senja,144,10: Andfjorden - Senja
2006,11,Kvaløya - Loppa,131,11: Kvaløya - Loppa
2006,12,Vest-Finnmark,117,12: Vest-Finnmark
2006,13,Øst-Finnmark,117,13: Øst-Finnmark
2007,1,Svenskegrensen - Jæren,76,1: Svenskegrensen - Jæren
2007,2,Ryfylke,166,2: Ryfylke
2007,3,Karmøy - Sotra,420,3: Karmøy - Sotra
2007,4,Sotra - Stadt,247,4: Sotra - Stadt
2007,5,Stad - Hustadvika,462,5: Stad - Hustadvika
2007,6,Nordmøre - Sør-Trøndelag,333,6: Nordmøre - Sør-Trøndelag
2007,7,Nord-Trøndelag - Bindal,272,7: Nord-Trøndelag - Bindal
2007,8,Helgeland - Bodø,315,8: Helgeland - Bodø
2007,9,Vestfjorden - Vesterålen,309,9: Vestfjorden - Vesterålen
2007,10,Andfjorden - Senja,143,10: Andfjorden - Senja
2007,11,Kvaløya - Loppa,130,11: Kvaløya - Loppa
2007,12,Vest-Finnmark,118,12: Vest-Finnmark
2007,13,Øst-Finnmark,118,13: Øst-Finnmark
2008,1,Svenskegrensen - Jæren,76,1: Svenskegrensen - Jæren
2008,2,Ryfylke,166,2: Ryfylke
2008,3,Karmøy - Sotra,423,3: Karmøy - Sotra
2008,4,Sotra - Stadt,247,4: Sotra - Stadt
2008,5,Stad - Hustadvika,457,5: Stad - Hustadvika
2008,6,Nordmøre - Sør-Trøndelag,328,6: Nordmøre - Sør-Trøndelag
2008,7,Nord-Trøndelag - Bindal,267,7: Nord-Trøndelag - Bindal
